iter	RMSE
0	588.951734
1	588.8195923
2	588.7997414
3	587.6575884
4	587.3874739
5	587.1612068
6	587.1274572
7	587.1274572
8	586.0918557
9	585.8092513
10	585.4410361
11	584.7980634
12	584.7980634
13	584.5187698
14	583.8101945
15	583.8101944
16	583.8101943
17	583.8101942
18	583.8101941
19	583.8101941
20	583.337044
21	582.7256631
22	582.7048508
23	582.4426128
24	582.1443262
25	582.0010732
26	581.9746479
27	581.0795618
28	581.0570742
29	580.9602885
30	580.9602885
31	579.9516581
32	579.4870072
33	579.3229543
34	578.2036367
35	578.1877716
36	576.7246397
37	576.6563599
38	575.4950354
39	575.4950351
40	575.2736334
41	574.9184851
42	574.6948777
43	574.6948775
44	573.73011
45	573.4635312
46	573.463531
47	573.4635309
48	573.3671714
49	573.1274648
50	573.1274647
51	573.0199054
52	572.6710939
53	572.552122
54	571.6246512
55	571.5289508
56	571.2462612
57	570.6674302
58	570.6674301
59	570.6674299
60	570.6583979
61	570.6583978
62	570.6583977
63	570.1056245
64	570.004587
65	569.863914
66	569.7805901
67	569.6907656
68	569.6907654
69	569.6907653
70	568.9632207
71	568.9632206
72	568.9632205
73	568.3042027
74	567.5742161
75	567.517116
76	567.4317892
77	567.4006308
78	567.4006307
79	567.4006307
80	567.4006306
81	567.1786197
82	567.0068867
83	567.0068866
84	566.9556021
85	566.955602
86	566.9547123
87	566.9547122
88	566.9547122
89	566.9547122
90	566.8765268
91	566.7987443
92	566.7173239
93	566.4723189
94	565.9872623
95	565.9872623
96	565.9872623
97	565.581139
98	565.3154036
99	565.3154036
100	564.7932552
101	564.7932552
102	564.7186717
103	564.7061028
104	564.6901899
105	564.6901899
106	564.5958335
107	564.5958335
108	564.5958335
109	564.5958335
110	564.5958335
111	564.5958335
112	564.5170809
113	564.5170809
114	564.4747732
115	564.1546413
116	564.1342205
117	563.8022924
118	563.8022924
119	563.4340034
120	563.4340034
121	563.389636
122	563.389636
123	563.0757498
124	563.0081423
125	562.7355095
126	562.31805
127	562.0492723
128	562.0492723
129	562.0492723
130	562.0492723
131	562.0086556
132	561.9623841
133	561.9623841
134	561.9623841
135	561.328922
136	561.2675381
137	561.2675381
138	561.2675381
139	560.8840737
140	560.8840737
141	560.6925908
142	560.5944
143	560.5908595
144	560.5388798
145	559.7172886
146	559.7172886
147	559.7172885
148	559.7172885
149	559.7172884
150	559.7121552
151	559.7121552
152	559.3535017
153	559.1852413
154	559.1371365
155	558.6315988
156	558.5669811
157	558.5669811
158	558.5496616
159	558.5496616
160	558.5344431
161	558.534443
162	558.5335761
163	558.5335761
164	558.340251
165	558.340251
166	558.3292322
167	558.3292322
168	558.1281205
169	557.9449279
170	557.9442679
171	557.4524825
172	557.4467655
173	557.4467655
174	557.4467654
175	557.4366863
176	557.4366863
177	557.4366863
178	557.2646749
179	557.2646748
180	557.2646748
181	557.2380574
182	557.1204773
183	557.0981561
184	557.0208294
185	556.8911479
186	556.8446293
187	556.8446293
188	556.7968121
189	556.0096521
190	555.9814461
191	555.981446
192	555.970791
193	555.9707909
194	555.9707465
195	555.9707464
196	555.9707464
197	555.7044411
198	555.6778309
199	555.6357206
200	555.6357206
201	555.4575785
202	555.3355702
203	555.3224607
204	555.1882374
205	555.1679012
206	555.1679012
207	555.1679012
208	555.1679012
209	555.100863
210	555.0928817
211	554.9042198
212	554.9042198
213	554.7480388
214	554.6730161
215	554.6385606
216	554.6385606
217	554.5243394
218	554.4694049
219	554.1979043
220	554.161161
221	554.161161
222	554.0902059
223	554.0894993
224	553.7297562
225	553.7111971
226	553.7111971
227	553.7111971
228	553.5724047
229	553.5595815
230	553.4511981
231	553.4002201
232	553.1609178
233	553.1609178
234	553.1609178
235	553.1609178
236	553.1609177
237	553.1609177
238	552.4290999
239	552.4137124
240	552.3147875
241	552.2858806
242	552.2774756
243	552.2774756
244	552.2774756
245	552.2774756
246	552.2774756
247	552.0902489
248	552.0710799
249	551.8333847
250	551.7985675
251	551.7985675
252	551.7985675
253	551.7985675
254	551.3512751
255	551.3512751
256	551.2225231
257	550.9543105
258	550.9192667
259	550.5702193
260	550.2731079
261	550.2731079
262	550.1297537
263	550.0161096
264	550.0161096
265	550.0161096
