iter	Passed	Remaining
0	1	3410
1	4	3943
2	5	3762
3	9	4598
4	12	4784
5	16	5122
6	17	4868
7	19	4537
8	20	4382
9	22	4275
10	25	4448
11	30	4825
12	31	4622
13	34	4622
14	38	4884
15	40	4716
16	41	4567
17	42	4434
18	43	4318
19	44	4208
20	47	4277
21	50	4294
22	52	4256
23	54	4252
24	56	4213
25	57	4170
26	59	4135
27	62	4176
28	64	4175
29	66	4145
30	67	4079
31	72	4231
32	76	4335
33	79	4339
34	82	4414
35	85	4415
36	93	4720
37	99	4878
38	104	4994
39	105	4928
40	108	4915
41	110	4906
42	114	4948
43	115	4885
44	119	4930
45	121	4906
46	123	4855
47	124	4797
48	126	4783
49	128	4752
50	129	4698
51	131	4665
52	134	4676
53	135	4646
54	139	4689
55	141	4659
56	144	4673
57	149	4741
58	150	4695
59	151	4650
60	153	4643
61	155	4600
62	156	4558
63	161	4628
64	163	4606
65	165	4598
66	168	4604
67	170	4597
68	171	4559
69	172	4522
70	175	4535
71	177	4500
72	178	4465
73	182	4497
74	185	4524
75	188	4527
76	191	4533
77	193	4521
78	194	4489
79	195	4458
80	197	4426
81	201	4460
82	203	4458
83	204	4431
84	206	4415
85	208	4389
86	209	4373
87	210	4345
88	212	4317
89	213	4290
90	215	4280
91	217	4271
92	220	4277
93	223	4288
94	227	4322
95	228	4297
96	229	4272
97	231	4265
98	234	4274
99	236	4251
100	239	4270
101	240	4247
102	242	4234
103	244	4218
104	245	4201
105	246	4178
106	248	4170
107	249	4148
108	251	4130
109	252	4111
110	253	4091
111	254	4071
112	257	4074
113	258	4054
114	260	4043
115	265	4084
116	267	4082
117	272	4120
118	273	4101
119	276	4102
120	277	4083
121	279	4071
122	280	4055
123	282	4045
124	284	4036
125	285	4026
126	288	4035
127	292	4052
128	293	4035
129	294	4018
130	296	4001
131	297	3991
132	300	3994
133	301	3978
134	302	3962
135	305	3963
136	307	3964
137	309	3948
138	310	3932
139	313	3943
140	314	3928
141	319	3952
142	321	3956
143	323	3946
144	325	3945
145	330	3975
146	331	3960
147	333	3944
148	334	3929
149	335	3914
150	337	3906
151	338	3893
152	341	3896
153	343	3897
154	346	3901
155	351	3932
156	353	3925
157	354	3911
158	356	3903
159	357	3888
160	358	3879
161	360	3865
162	361	3859
163	363	3846
164	365	3850
165	367	3838
166	369	3832
167	370	3819
168	373	3827
169	376	3831
170	377	3823
171	383	3851
172	385	3845
173	386	3833
174	387	3821
175	389	3819
176	390	3806
177	392	3794
178	396	3813
179	397	3801
180	398	3789
181	400	3782
182	404	3793
183	405	3787
184	408	3785
185	409	3778
186	412	3778
187	413	3767
188	415	3762
189	420	3787
190	422	3781
191	423	3769
192	425	3767
193	426	3756
194	428	3749
195	429	3738
196	430	3727
197	434	3737
198	436	3736
199	439	3737
200	440	3726
201	445	3743
202	446	3737
203	448	3730
204	450	3724
205	451	3718
206	453	3708
207	454	3698
208	455	3687
209	457	3686
210	459	3680
211	461	3678
212	462	3668
213	464	3662
214	467	3665
215	469	3660
216	470	3650
217	474	3659
218	476	3657
219	479	3661
220	481	3660
221	482	3651
222	485	3649
223	486	3644
224	490	3653
225	492	3647
226	493	3637
227	494	3628
228	496	3627
229	498	3621
230	500	3616
231	503	3620
232	507	3632
233	508	3622
234	509	3613
235	510	3604
236	512	3594
237	513	3585
238	516	3588
239	518	3587
240	520	3584
241	522	3582
242	524	3577
243	525	3569
244	526	3560
245	527	3551
246	529	3543
247	531	3545
248	533	3541
249	539	3561
250	541	3557
251	542	3548
252	543	3540
253	544	3531
254	547	3534
255	548	3526
256	553	3539
257	557	3547
258	558	3542
259	561	3541
260	563	3539
261	564	3530
262	567	3534
263	569	3529
264	570	3521
265	571	3513
266	574	3515
267	576	3510
268	577	3502
269	578	3497
270	580	3489
271	581	3481
272	583	3480
273	587	3490
274	589	3483
275	590	3479
276	593	3476
277	594	3469
278	598	3478
279	600	3473
280	601	3469
281	603	3467
282	605	3462
283	608	3462
284	609	3454
285	610	3447
286	611	3439
287	614	3438
288	615	3431
289	620	3446
290	621	3439
291	623	3434
292	626	3436
293	627	3428
294	628	3421
295	629	3413
296	632	3416
297	634	3412
298	636	3407
299	638	3407
300	639	3400
301	640	3393
302	642	3385
303	646	3397
304	648	3393
305	650	3391
306	652	3387
307	654	3383
308	657	3385
309	658	3378
310	663	3390
311	666	3392
312	667	3385
313	668	3378
314	670	3374
315	671	3368
316	672	3361
317	675	3361
318	676	3354
319	678	3350
320	679	3346
321	682	3348
322	684	3341
323	685	3335
324	686	3328
325	688	3324
326	689	3317
327	691	3313
328	692	3307
329	695	3310
330	699	3319
331	702	3317
332	706	3325
333	707	3319
